ListingID,City,RoomType,Bedrooms,Bathrooms,GuestsCapacity,HasWifi,HasAC,DistanceFromCityCenter,PricePerNight
1,Bengaluru,Shared room,2,4,3,0,0,16.45,18150
2,Mumbai,Entire home/apt,5,4,1,1,1,13.11,12877
3,Bengaluru,Shared room,4,4,3,1,0,0.62,7386
4,Mumbai,Private room,5,1,1,1,0,13.64,4974
5,Delhi,Shared room,1,1,6,0,0,4.92,8788
6,Mumbai,Shared room,2,2,2,0,1,6.26,13306
7,Delhi,Private room,2,1,4,1,1,7.11,17408
8,Bengaluru,Entire home/apt,3,2,2,0,1,14.24,5364
9,Goa,Private room,3,1,4,1,1,3.78,18830
10,Bengaluru,Entire home/apt,4,4,9,1,1,4.32,13004
11,Goa,Entire home/apt,4,4,5,0,1,6.91,18612
12,Delhi,Shared room,2,2,3,0,0,0.78,4632
13,Mumbai,Private room,4,4,6,0,0,17.27,5313
14,Mumbai,Shared room,5,1,8,0,1,10.03,19828
15,Mumbai,Entire home/apt,3,3,6,0,1,12.61,15644
16,Bengaluru,Shared room,1,2,9,0,0,3.11,5615
17,Mumbai,Entire home/apt,3,1,2,0,1,19.16,16995
18,Mumbai,Shared room,4,2,6,1,1,9.72,4432
19,Delhi,Entire home/apt,1,2,3,1,1,6.7,12093
20,Bengaluru,Entire home/apt,2,2,4,0,1,13.99,8754
21,Mumbai,Shared room,2,1,8,0,1,15.06,19009
22,Delhi,Shared room,2,1,1,0,0,17.56,1126
23,Mumbai,Shared room,5,3,10,1,0,1.73,11613
24,Mumbai,Private room,2,2,9,0,0,4.83,12224
25,Bengaluru,Shared room,5,3,9,1,1,8.03,7966
26,Bengaluru,Entire home/apt,4,1,3,0,1,6.8,18426
27,Bengaluru,Private room,1,2,10,0,0,12.98,17478
28,Goa,Entire home/apt,1,4,10,0,1,7.18,12105
29,Bengaluru,Private room,1,4,2,1,1,13.09,19473
30,Mumbai,Private room,1,3,6,1,0,19.9,14268
31,Bengaluru,Shared room,2,3,5,1,0,7.8,12420
32,Mumbai,Shared room,3,3,10,1,1,11.88,11979
33,Mumbai,Private room,4,3,4,0,1,18.73,16207
34,Delhi,Shared room,3,1,8,1,1,18.64,3326
35,Goa,Private room,5,4,6,1,1,10.55,17659
36,Mumbai,Entire home/apt,4,1,9,1,0,18.02,19036
37,Goa,Entire home/apt,3,2,5,1,1,11.99,3210
38,Goa,Shared room,5,2,2,1,1,15.55,6767
39,Mumbai,Shared room,1,3,9,1,0,16.01,3524
40,Goa,Private room,2,3,7,1,0,17.66,16858
41,Delhi,Entire home/apt,4,4,4,1,0,12.57,3182
42,Delhi,Entire home/apt,2,3,4,1,0,11.39,11059
43,Delhi,Entire home/apt,1,2,7,0,0,3.0,9653
44,Goa,Shared room,4,4,5,0,1,11.37,12108
45,Mumbai,Private room,5,2,4,1,1,10.34,7409
46,Delhi,Private room,1,1,7,1,0,12.86,14360
47,Goa,Shared room,2,4,5,0,0,1.08,5391
48,Mumbai,Shared room,4,1,4,0,0,12.52,3604
49,Delhi,Shared room,3,2,7,1,0,15.08,12575
50,Mumbai,Private room,2,1,8,0,1,2.3,2493
51,Goa,Private room,1,1,7,1,0,19.44,9656
52,Goa,Private room,5,1,9,0,1,6.88,7709
53,Bengaluru,Entire home/apt,4,3,8,1,1,13.17,9667
54,Delhi,Entire home/apt,2,3,4,1,1,5.54,5899
55,Bengaluru,Private room,2,1,3,1,1,10.39,13939
56,Goa,Shared room,5,3,1,0,1,11.05,10329
57,Bengaluru,Entire home/apt,3,2,2,1,1,6.7,6322
58,Bengaluru,Entire home/apt,1,3,3,1,0,12.54,3634
59,Mumbai,Private room,5,4,8,0,1,4.65,9643
60,Delhi,Shared room,5,4,3,0,0,19.36,7549
61,Goa,Entire home/apt,2,1,1,1,1,17.76,19746
62,Bengaluru,Private room,4,1,8,0,0,2.97,5023
63,Delhi,Shared room,5,2,9,0,0,8.2,16437
64,Delhi,Private room,3,1,8,0,1,11.17,6331
65,Mumbai,Private room,3,4,10,0,1,4.5,2920
66,Delhi,Shared room,5,1,7,0,1,7.51,14920
67,Delhi,Entire home/apt,1,2,9,1,0,15.61,11484
68,Mumbai,Shared room,5,2,2,0,1,5.68,4375
69,Delhi,Shared room,1,4,4,0,1,3.24,17495
70,Bengaluru,Shared room,2,3,3,0,0,4.89,3814
71,Bengaluru,Entire home/apt,4,4,7,1,0,19.18,909
72,Goa,Shared room,4,3,1,1,0,9.59,12674
73,Bengaluru,Entire home/apt,2,2,7,1,1,9.46,2354
74,Delhi,Private room,1,2,7,0,1,9.15,14589
75,Goa,Shared room,3,4,5,1,1,6.22,9236
76,Mumbai,Private room,4,1,10,0,1,12.21,3697
77,Delhi,Shared room,3,2,9,0,0,11.45,13664
78,Delhi,Entire home/apt,3,3,1,0,0,11.01,942
79,Delhi,Shared room,3,2,1,1,1,17.24,6214
80,Delhi,Shared room,5,1,8,0,0,4.7,18537
81,Mumbai,Shared room,4,1,9,1,1,9.76,19944
82,Delhi,Private room,4,4,9,0,1,12.71,5279
83,Bengaluru,Shared room,5,1,8,0,1,1.93,889
84,Goa,Shared room,3,3,1,1,1,17.93,6267
85,Delhi,Shared room,2,4,5,1,0,10.99,10493
86,Mumbai,Shared room,3,1,2,1,1,8.05,7177
87,Delhi,Shared room,5,2,1,1,0,16.54,14860
88,Mumbai,Shared room,3,4,3,1,1,2.92,12352
89,Delhi,Private room,5,2,1,0,0,7.19,18835
90,Goa,Entire home/apt,4,3,4,0,1,16.3,5654
91,Bengaluru,Shared room,3,1,7,1,0,16.17,17374
92,Goa,Shared room,1,1,10,0,0,11.74,14490
93,Mumbai,Entire home/apt,2,2,5,1,1,15.36,17047
94,Mumbai,Entire home/apt,3,2,4,0,1,10.36,16765
95,Delhi,Entire home/apt,2,4,10,1,1,6.08,12984
96,Delhi,Entire home/apt,2,3,1,0,0,8.81,12777
97,Delhi,Private room,1,1,1,1,0,5.43,19458
98,Mumbai,Entire home/apt,5,2,7,1,1,14.53,13641
99,Goa,Private room,2,4,1,1,1,4.79,14956
100,Delhi,Shared room,1,4,6,1,1,13.58,2148
101,Delhi,Shared room,3,3,4,1,0,12.18,14038
102,Bengaluru,Entire home/apt,3,2,2,0,0,18.02,18539
103,Delhi,Private room,4,4,5,1,0,11.77,2566
104,Goa,Private room,1,2,4,1,0,14.4,18280
105,Goa,Private room,5,1,8,1,0,1.6,18154
106,Bengaluru,Private room,4,3,7,1,0,17.04,15507
107,Mumbai,Shared room,2,4,4,1,0,16.79,7777
108,Goa,Entire home/apt,5,3,1,1,1,15.76,15835
109,Delhi,Entire home/apt,2,2,5,0,1,10.36,3951
110,Delhi,Shared room,2,3,2,0,0,17.29,9731
111,Mumbai,Shared room,1,3,6,0,0,10.09,11242
112,Mumbai,Entire home/apt,5,2,6,1,0,17.82,824
113,Bengaluru,Entire home/apt,5,3,5,0,1,17.04,12943
114,Delhi,Private room,2,2,6,1,0,3.46,17287
115,Goa,Shared room,5,2,8,1,0,5.05,12815
116,Goa,Private room,4,3,8,1,1,14.84,5121
117,Goa,Shared room,2,4,7,1,1,15.2,19409
118,Mumbai,Shared room,4,3,3,0,0,19.02,16056
119,Delhi,Entire home/apt,5,3,4,1,1,11.38,19152
120,Delhi,Entire home/apt,4,1,8,0,1,10.26,10822
121,Mumbai,Private room,3,4,4,1,1,10.11,13755
122,Goa,Entire home/apt,2,1,6,0,0,13.89,8116
123,Delhi,Entire home/apt,5,1,3,1,0,15.26,9050
124,Delhi,Private room,1,4,8,0,0,11.96,16675
125,Delhi,Entire home/apt,5,4,8,1,1,12.73,4898
126,Mumbai,Entire home/apt,1,2,9,1,1,19.03,14386
127,Bengaluru,Entire home/apt,1,3,10,0,1,4.45,9944
128,Delhi,Private room,2,3,4,0,1,2.93,1651
129,Goa,Entire home/apt,3,1,4,1,0,16.97,16007
130,Delhi,Shared room,4,2,8,1,1,7.71,2776
131,Mumbai,Entire home/apt,3,2,4,1,1,16.14,11023
132,Bengaluru,Private room,5,3,9,1,1,19.54,15425
133,Delhi,Entire home/apt,3,1,9,0,1,17.22,1593
134,Mumbai,Entire home/apt,5,1,9,1,1,11.21,12969
135,Bengaluru,Private room,5,4,7,1,1,15.26,17812
136,Delhi,Shared room,5,4,4,1,1,13.01,18902
137,Bengaluru,Shared room,3,4,8,0,1,18.69,971
138,Delhi,Entire home/apt,5,3,3,0,1,5.16,10989
139,Bengaluru,Shared room,3,1,1,0,1,14.97,4625
140,Delhi,Entire home/apt,2,2,1,0,1,17.27,13652
141,Mumbai,Shared room,4,1,7,0,0,13.22,14988
142,Bengaluru,Private room,2,1,3,1,0,13.76,14416
143,Mumbai,Entire home/apt,2,2,9,0,0,19.24,13591
144,Bengaluru,Private room,5,4,2,0,0,16.3,18296
145,Delhi,Private room,4,2,3,1,1,13.68,1355
146,Goa,Private room,5,3,3,1,0,2.89,9740
147,Goa,Entire home/apt,3,3,9,1,1,1.94,10956
148,Delhi,Private room,2,1,8,1,1,15.3,4104
149,Goa,Shared room,5,2,2,1,0,13.13,7494
150,Mumbai,Private room,4,2,6,0,1,13.59,10778
151,Goa,Private room,2,2,4,1,1,13.7,15057
152,Goa,Private room,2,1,7,0,1,7.43,16260
153,Goa,Entire home/apt,3,4,5,1,0,0.56,2291
154,Mumbai,Private room,4,2,6,0,1,1.2,6883
155,Delhi,Shared room,3,1,4,1,1,6.28,12508
156,Goa,Entire home/apt,3,1,7,1,0,17.78,16783
157,Goa,Shared room,2,4,5,0,0,8.12,10754
158,Delhi,Private room,2,2,10,1,1,3.91,16200
159,Goa,Private room,3,2,8,1,0,4.64,6561
160,Mumbai,Shared room,4,1,9,0,0,3.97,17943
161,Mumbai,Private room,4,1,6,1,1,16.97,7388
162,Delhi,Shared room,5,2,2,1,0,3.84,3438
163,Goa,Private room,5,2,8,1,1,4.14,12493
164,Mumbai,Shared room,1,4,9,0,1,8.79,5547
165,Bengaluru,Private room,1,3,8,0,1,13.03,12550
166,Mumbai,Shared room,2,1,8,0,1,13.54,9886
167,Mumbai,Private room,2,3,5,1,1,8.64,10168
168,Delhi,Shared room,5,3,8,0,0,18.51,9963
169,Goa,Private room,3,4,8,0,1,3.12,13000
170,Delhi,Private room,1,2,9,0,0,17.31,13586
171,Delhi,Shared room,3,2,8,1,1,13.07,8387
172,Bengaluru,Shared room,4,2,4,1,0,2.49,16956
173,Delhi,Entire home/apt,3,3,4,1,0,8.62,3598
174,Mumbai,Private room,1,4,1,0,1,9.97,17426
175,Goa,Private room,3,2,9,1,1,7.66,7255
176,Bengaluru,Entire home/apt,4,2,1,0,0,11.02,19008
177,Goa,Private room,1,3,7,0,1,9.89,13224
178,Delhi,Private room,4,1,7,1,0,15.2,2047
179,Delhi,Private room,3,3,3,1,1,17.32,13894
180,Goa,Shared room,4,2,1,0,1,7.82,15414
181,Mumbai,Entire home/apt,1,4,1,1,0,6.64,13336
182,Delhi,Entire home/apt,5,1,8,0,0,9.74,1874
183,Goa,Shared room,4,2,6,1,0,1.52,19269
184,Goa,Entire home/apt,3,4,2,0,1,19.04,15342
185,Goa,Shared room,2,1,1,1,1,6.38,6377
186,Delhi,Private room,1,1,9,0,1,9.81,5602
187,Bengaluru,Shared room,2,1,10,0,0,3.6,10224
188,Bengaluru,Entire home/apt,4,3,3,1,0,1.15,3145
189,Goa,Private room,3,3,4,1,1,13.61,17038
190,Mumbai,Private room,1,2,4,1,1,12.45,16617
191,Bengaluru,Entire home/apt,5,3,2,1,1,11.06,7373
192,Bengaluru,Shared room,4,1,10,1,1,4.1,16498
193,Delhi,Private room,4,3,10,1,0,12.75,15199
194,Mumbai,Private room,1,3,8,1,1,6.42,10468
195,Bengaluru,Shared room,3,1,2,1,0,1.62,3675
196,Mumbai,Private room,3,1,5,1,0,17.49,2207
197,Mumbai,Entire home/apt,2,1,7,0,1,12.27,5984
198,Goa,Entire home/apt,1,4,7,1,0,16.58,11387
199,Mumbai,Entire home/apt,3,2,1,1,0,19.4,9318
200,Mumbai,Private room,5,3,2,1,0,14.23,5892
201,Goa,Entire home/apt,2,4,7,1,0,8.44,11842
202,Bengaluru,Entire home/apt,1,2,2,1,1,8.98,8301
203,Goa,Shared room,4,1,9,0,0,5.07,19354
204,Delhi,Shared room,2,2,3,1,1,18.15,17936
205,Bengaluru,Entire home/apt,5,2,7,1,1,11.55,7966
206,Goa,Shared room,2,3,2,0,1,19.18,4791
207,Mumbai,Private room,4,1,4,0,1,2.33,19942
208,Mumbai,Private room,5,4,4,1,1,15.76,18736
209,Delhi,Private room,3,4,7,1,0,18.52,16832
210,Delhi,Entire home/apt,3,3,2,1,0,5.95,1773
211,Goa,Entire home/apt,1,1,3,1,0,19.93,6943
212,Delhi,Private room,5,2,8,0,0,5.03,10386
213,Goa,Shared room,1,3,6,1,1,7.46,3267
214,Mumbai,Entire home/apt,2,3,3,1,1,10.23,18630
215,Mumbai,Entire home/apt,4,3,7,1,1,9.57,18860
216,Goa,Private room,5,4,4,0,0,10.73,1569
217,Mumbai,Private room,3,1,7,1,1,14.34,17116
218,Mumbai,Entire home/apt,4,2,4,0,1,2.83,5704
219,Bengaluru,Shared room,1,4,1,1,1,19.76,8850
220,Delhi,Shared room,4,1,3,0,0,9.89,17706
221,Delhi,Shared room,2,3,2,0,0,14.79,5817
222,Delhi,Private room,1,4,6,1,0,9.8,12328
223,Mumbai,Private room,5,3,7,0,1,8.03,6119
224,Delhi,Private room,4,2,1,0,1,9.07,4631
225,Mumbai,Entire home/apt,1,3,3,1,1,1.87,5610
226,Bengaluru,Shared room,5,4,9,1,1,1.96,16580
227,Goa,Entire home/apt,4,2,2,0,1,13.0,13291
228,Mumbai,Private room,2,1,10,0,1,14.1,5704
229,Goa,Private room,1,3,7,1,1,15.35,1617
230,Delhi,Private room,5,1,8,0,0,10.37,7981
231,Bengaluru,Shared room,4,1,5,1,1,7.51,2607
232,Bengaluru,Shared room,2,4,2,1,1,14.24,3746
233,Delhi,Entire home/apt,3,3,5,0,1,10.74,10749
234,Delhi,Private room,1,2,10,1,0,16.31,5201
235,Bengaluru,Shared room,1,1,7,1,0,14.78,17026
236,Goa,Private room,2,4,10,1,0,1.91,12925
237,Goa,Entire home/apt,2,4,6,0,1,14.79,6832
238,Mumbai,Entire home/apt,5,2,4,0,0,7.52,18483
239,Goa,Shared room,1,2,7,0,0,15.15,2465
240,Mumbai,Entire home/apt,3,4,10,1,0,11.64,4748
241,Delhi,Private room,4,1,8,1,0,11.55,15893
242,Delhi,Shared room,2,4,10,0,1,17.0,13860
243,Bengaluru,Private room,2,1,7,0,0,11.52,7709
244,Goa,Shared room,2,2,1,0,1,16.51,12275
245,Mumbai,Entire home/apt,1,3,9,1,0,10.39,14982
246,Goa,Private room,1,3,8,0,0,17.52,9642
247,Bengaluru,Private room,4,3,7,1,0,4.66,5824
248,Mumbai,Shared room,3,2,8,1,0,4.32,1600
249,Goa,Entire home/apt,1,4,5,0,0,8.52,16643
250,Bengaluru,Private room,2,4,4,1,0,8.23,13099
251,Delhi,Entire home/apt,1,2,3,0,1,4.12,2892
252,Delhi,Private room,5,1,3,0,0,10.85,17452
253,Delhi,Shared room,3,1,3,0,1,14.81,935
254,Delhi,Private room,1,4,6,1,0,17.76,17591
255,Bengaluru,Shared room,4,1,5,1,0,10.06,1672
256,Delhi,Private room,3,4,9,0,1,2.83,3934
257,Bengaluru,Shared room,4,4,6,1,1,17.45,8394
258,Goa,Shared room,3,1,6,0,0,19.51,18383
259,Mumbai,Entire home/apt,2,3,3,1,1,0.72,15530
260,Goa,Private room,2,4,2,1,0,0.61,18274
261,Bengaluru,Entire home/apt,3,2,3,0,1,16.87,7482
262,Goa,Private room,5,4,9,0,0,14.03,619
263,Delhi,Shared room,3,3,2,1,1,11.07,9831
264,Mumbai,Shared room,1,3,9,1,1,4.45,18658
265,Goa,Shared room,2,4,6,1,0,14.7,17480
266,Mumbai,Shared room,2,1,3,0,0,18.05,5880
267,Goa,Shared room,2,1,10,0,1,3.96,2117
268,Goa,Private room,1,4,3,0,1,18.16,2151
269,Delhi,Private room,4,3,9,1,0,5.35,19656
270,Mumbai,Entire home/apt,4,3,1,1,1,5.11,13571
271,Goa,Entire home/apt,1,2,8,0,0,11.78,16274
272,Mumbai,Private room,1,3,3,1,0,6.3,13311
273,Mumbai,Shared room,3,4,8,0,0,2.7,10911
274,Bengaluru,Entire home/apt,2,4,3,0,1,15.28,11848
275,Mumbai,Private room,3,4,4,0,1,15.22,2817
276,Delhi,Shared room,3,4,3,1,1,14.54,4140
277,Goa,Private room,5,1,7,1,0,3.51,8520
278,Delhi,Entire home/apt,4,2,7,0,1,7.64,8156
279,Mumbai,Private room,1,1,4,0,0,8.05,4355
280,Bengaluru,Entire home/apt,4,2,1,0,0,13.7,10863
281,Goa,Entire home/apt,2,3,2,1,0,7.68,19851
282,Mumbai,Entire home/apt,3,4,9,1,0,14.19,7323
283,Delhi,Entire home/apt,4,4,7,1,1,8.57,15567
284,Bengaluru,Private room,3,1,8,1,0,10.64,13913
285,Goa,Entire home/apt,4,3,7,1,0,13.56,14886
286,Mumbai,Entire home/apt,5,2,10,0,1,16.82,16801
287,Bengaluru,Shared room,1,3,5,0,0,14.94,10277
288,Mumbai,Entire home/apt,3,4,6,0,1,3.18,3616
289,Delhi,Shared room,5,1,3,0,1,17.57,3197
290,Bengaluru,Shared room,4,1,3,1,0,0.79,7160
291,Bengaluru,Entire home/apt,2,4,6,0,0,18.99,1442
292,Bengaluru,Entire home/apt,5,2,9,1,1,19.24,4926
293,Mumbai,Shared room,2,1,10,1,1,7.41,4141
294,Goa,Entire home/apt,2,2,9,0,0,3.86,19885
295,Goa,Shared room,5,3,10,1,1,14.25,9241
296,Goa,Entire home/apt,3,3,8,0,1,13.81,16908
297,Goa,Shared room,1,2,2,1,1,4.57,7447
298,Mumbai,Entire home/apt,1,2,3,1,1,15.26,16723
299,Bengaluru,Entire home/apt,4,1,7,1,1,8.07,3233
300,Bengaluru,Entire home/apt,5,2,5,1,1,12.33,15511
301,Bengaluru,Entire home/apt,2,1,4,1,1,4.93,2174
302,Mumbai,Private room,3,3,8,0,1,9.39,14390
303,Mumbai,Shared room,1,3,2,0,1,0.82,9738
304,Bengaluru,Shared room,4,2,7,0,0,19.09,11804
305,Goa,Private room,2,1,4,0,0,16.38,18033
306,Mumbai,Shared room,2,2,9,0,1,8.78,4393
307,Mumbai,Shared room,3,3,8,1,0,11.05,609
308,Delhi,Entire home/apt,3,1,10,1,0,17.13,19644
309,Delhi,Entire home/apt,3,1,5,1,1,2.13,12463
310,Goa,Entire home/apt,5,4,1,0,1,12.2,14347
311,Bengaluru,Private room,1,2,5,0,1,9.19,4022
312,Bengaluru,Entire home/apt,3,2,6,1,0,6.07,12941
313,Mumbai,Entire home/apt,1,2,10,1,0,1.87,1137
314,Goa,Private room,2,4,10,0,0,19.14,3621
315,Delhi,Entire home/apt,3,1,2,1,1,16.42,15334
316,Mumbai,Entire home/apt,5,2,7,0,1,10.46,17473
317,Goa,Private room,2,2,2,1,0,16.1,4384
318,Goa,Entire home/apt,5,4,3,1,0,5.17,15266
319,Delhi,Shared room,2,3,10,1,0,14.04,7545
320,Mumbai,Shared room,5,4,8,0,1,2.88,10174
321,Mumbai,Shared room,5,1,8,1,1,6.85,3707
322,Bengaluru,Shared room,4,1,7,1,0,1.27,16404
323,Goa,Entire home/apt,3,1,6,0,0,17.3,17178
324,Mumbai,Entire home/apt,4,2,10,1,1,12.3,13880
325,Delhi,Entire home/apt,1,1,9,1,1,1.75,13820
326,Delhi,Entire home/apt,3,2,7,1,1,6.27,19691
327,Mumbai,Shared room,2,2,8,0,1,9.87,10951
328,Mumbai,Private room,4,2,7,1,0,13.69,1242
329,Goa,Shared room,4,2,5,0,0,0.55,9331
330,Bengaluru,Entire home/apt,5,3,9,0,1,8.64,1141
331,Goa,Private room,4,1,7,0,1,0.99,13136
332,Goa,Private room,4,1,5,0,0,2.37,6530
